time,open,high,low,close,volumn,close_time,transaction_volume,transaction_number,active_buying_volume,active_buying_transaction_volume,ignore
2024-11-07 01:20:00,75438.0,75450.0,75280.0,75300.0,99.81898,1730942459999,7521254.2891578,7333,21.02853,1584346.1393842,0
2024-11-07 01:21:00,75300.0,75313.49,75262.27,75279.99,52.20598,1730942519999,3930665.3488097,3720,17.73556,1335259.5638112,0
2024-11-07 01:22:00,75279.99,75358.97,75279.99,75350.0,44.71532,1730942579999,3368266.815207,6890,23.11761,1741132.009118,0
2024-11-07 01:23:00,75350.01,75358.98,75334.0,75348.13,33.01359,1730942639999,2487417.4862989,3814,15.86327,1195192.9700868,0
2024-11-07 01:24:00,75348.12,75400.0,75333.33,75383.99,89.86397,1730942699999,6771738.2187616,8764,29.10792,2193504.1400065,0
2024-11-07 01:25:00,75383.99,75404.0,75347.9,75384.0,37.3934,1730942759999,2818831.9378368,7159,19.31573,1456044.4071533,0
2024-11-07 01:26:00,75383.99,75424.25,75372.47,75422.0,54.27278,1730942819999,4092583.0094154,5434,23.83756,1797438.5042741,0
2024-11-07 01:27:00,75421.99,75544.0,75414.01,75540.22,79.3606,1730942879999,5989283.7482086,7370,56.64312,4274898.1865868,0
2024-11-07 01:28:00,75540.22,75600.0,75488.59,75599.99,80.53869,1730942939999,6083940.6159721,8344,40.91083,3091026.0799015,0
2024-11-07 01:29:00,75599.99,75623.09,75531.23,75536.0,47.4565,1730942999999,3587258.7598109,7066,18.81964,1422465.9663464,0
2024-11-07 01:30:00,75536.0,75713.42,75517.27,75693.08,174.38108,1730943059999,13190265.5988411,13046,126.90615,9598427.3463433,0
2024-11-07 01:31:00,75693.08,75693.08,75572.0,75593.96,36.61244,1730943119999,2768644.7064677,8903,17.30858,1308625.8537246,0
2024-11-07 01:32:00,75593.97,75662.0,75580.0,75654.0,49.07746,1730943179999,3711438.4707412,6256,33.87752,2561913.0586317,0
2024-11-07 01:33:00,75653.99,75674.0,75650.0,75650.0,56.4393,1730943239999,4270421.8223155,3635,18.02473,1363817.4777727,0
2024-11-07 01:34:00,75650.01,75726.0,75650.0,75726.0,59.29115,1730943299999,4487682.3243629,5895,44.55833,3372587.7975441,0
2024-11-07 01:35:00,75725.99,75862.64,75707.39,75862.64,106.24015,1730943359999,8048574.9532319,9051,41.44231,3140575.8389474,0
2024-11-07 01:36:00,75862.64,76022.79,75848.01,75976.01,145.78495,1730943419999,11072164.6457698,14838,98.79746,7503553.3185301,0
2024-11-07 01:37:00,75976.0,76004.0,75926.0,75945.64,37.03792,1730943479999,2813636.3750102,8850,15.76272,1197326.6928808,0
2024-11-07 01:38:00,75945.63,75945.63,75876.51,75890.0,32.10907,1730943539999,2437718.3476183,7659,11.4502,869310.0347865,0
2024-11-07 01:39:00,75889.99,75890.0,75785.63,75835.37,31.56066,1730943599999,2392983.3254643,6392,17.51894,1328147.5858589,0
2024-11-07 01:40:00,75835.37,75835.37,75699.54,75748.0,50.06276,1730943659999,3792906.6127375,6938,14.4727,1096396.3703395,0
2024-11-07 01:41:00,75748.0,75792.0,75704.18,75712.09,32.64975,1730943719999,2472932.8051492,4807,15.37554,1164332.9396377,0
2024-11-07 01:42:00,75712.1,75712.1,75624.27,75626.24,53.19669,1730943779999,4024956.2336991,5294,13.13546,993784.2865751,0
2024-11-07 01:43:00,75626.25,75650.0,75521.21,75521.44,56.56343,1730943839999,4274344.1875024,6570,15.71558,1187523.9497432,0
2024-11-07 01:44:00,75521.44,75530.0,75392.36,75396.01,109.14711,1730943899999,8234924.8988547,9823,61.04951,4605826.6100345,0
2024-11-07 01:45:00,75396.0,75432.0,75337.38,75349.33,68.9197,1730943959999,5193784.4725768,9281,37.02849,2790295.3741118,0
2024-11-07 01:46:00,75349.32,75464.43,75349.32,75414.11,75.91184,1730944019999,5724525.9487629,7542,34.92223,2633353.9315821,0
2024-11-07 01:47:00,75414.11,75414.12,75347.03,75366.0,30.43751,1730944079999,2293915.9138092,5950,15.08179,1136617.0154066,0
2024-11-07 01:48:00,75365.73,75365.73,75284.18,75306.37,37.97414,1730944139999,2859915.7926246,7650,19.07443,1436406.5810888,0
2024-11-07 01:49:00,75306.37,75372.0,75250.0,75371.99,26.36328,1730944199999,1985063.1955863,7349,15.79762,1189561.1476268,0
2024-11-07 01:50:00,75371.99,75401.77,75319.9,75319.91,47.0031,1730944259999,3542993.611392,4689,30.90319,2329532.4932491,0
2024-11-07 01:51:00,75319.9,75363.64,75319.9,75349.99,36.40643,1730944319999,2742953.5597328,4609,29.1009,2192496.4094417,0
2024-11-07 01:52:00,75349.99,75349.99,75262.35,75300.0,27.98338,1730944379999,2106682.1564779,5969,16.29345,1226498.7474301,0
2024-11-07 01:53:00,75300.0,75314.72,75288.5,75304.0,12.25727,1730944439999,922997.7455205,3473,6.38761,480990.1489905,0
2024-11-07 01:54:00,75304.0,75304.01,75240.37,75240.37,23.89008,1730944499999,1797957.702917,3984,11.74182,883614.2309245,0
2024-11-07 01:55:00,75240.38,75350.0,75240.37,75328.0,21.83731,1730944559999,1644950.8904283,5528,12.50722,942001.341759,0
2024-11-07 01:56:00,75328.01,75363.64,75322.0,75324.01,24.83971,1730944619999,1871504.5946183,4385,10.33217,778352.210779,0
2024-11-07 01:57:00,75324.02,75363.0,75270.12,75360.01,37.50241,1730944679999,2824082.0211045,6689,17.39834,1310126.7609081,0
2024-11-07 01:58:00,75360.02,75388.0,75319.9,75377.71,14.78773,1730944739999,1114211.5313016,5041,10.91741,822569.1128605,0
2024-11-07 01:59:00,75377.71,75399.99,75360.0,75386.0,10.56453,1730944799999,796339.9081898,3558,7.41226,558719.4285881,0
2024-11-07 02:00:00,75386.0,75393.94,75370.0,75393.92,22.3553,1730944859999,1685237.076736,4098,13.27282,1000520.8593733,0
